row,Rec,Tgts,Yds,Avg,Lng,Td,player,playerid,recRate,ydsPerTgt
65,9,10,86,9.6,15,2,Demaryius Thomas,7,0.90,8.6
66,5,6,57,11.4,26,0,Demaryius Thomas,7,0.83,9.5
67,3,5,78,26,42,0,Demaryius Thomas,7,0.60,15.6
68,4,10,82,20.5,31,1,Demaryius Thomas,7,0.40,8.2
69,7,11,75,10.7,35,1,Demaryius Thomas,7,0.64,6.8
70,7,10,108,15.4,34,3,Demaryius Thomas,7,0.70,10.8
71,5,13,121,24.2,70,0,Demaryius Thomas,7,0.38,9.3
72,4,9,41,10.3,15,1,Demaryius Thomas,7,0.44,4.6
73,3,6,106,35.3,77,0,Demaryius Thomas,7,0.50,17.7
74,7,10,88,12.6,38,1,Demaryius Thomas,7,0.70,8.8
75,4,5,45,11.3,21,0,Demaryius Thomas,7,0.80,9.0
76,8,14,123,15.4,36,1,Demaryius Thomas,7,0.57,8.8
77,6,6,113,18.8,63,2,Demaryius Thomas,7,1.00,18.8
286,6,12,102,17,41,1,Desean Jackson,8,0.50,8.5
287,2,3,21,10.5,11,0,Desean Jackson,8,0.67,7.0
288,2,6,30,15,17,0,Desean Jackson,8,0.33,5.0
289,6,9,171,28.5,61,0,Desean Jackson,8,0.67,19.0
290,5,7,86,17.2,31,1,Desean Jackson,8,0.71,12.3
291,3,7,46,15.3,23,0,Desean Jackson,8,0.43,6.6
292,3,6,31,10.3,14,0,Desean Jackson,8,0.50,5.2
293,2,8,16,8,10,0,Desean Jackson,8,0.25,2.0
294,6,8,88,14.7,32,0,Desean Jackson,8,0.75,11.0
295,4,10,73,18.3,44,0,Desean Jackson,8,0.40,7.3
296,4,5,34,8.5,20,0,Desean Jackson,8,0.80,6.8
297,4,6,59,14.8,34,1,Desean Jackson,8,0.67,9.8
298,2,2,28,14,16,0,Desean Jackson,8,1.00,14.0
299,5,9,90,18,33,0,Desean Jackson,8,0.56,10.0
300,4,6,86,21.5,62,1,Desean Jackson,8,0.67,14.3
302,4,9,77,19.3,35,0,Desean Jackson,8,0.44,8.6
303,7,9,114,16.3,49,0,Desean Jackson,8,0.78,12.7
304,3,9,43,14.3,16,0,Desean Jackson,8,0.33,4.8
305,6,9,99,16.5,32,1,Desean Jackson,8,0.67,11.0
306,4,9,58,14.5,24,0,Desean Jackson,8,0.44,6.4
307,5,8,74,14.8,30,0,Desean Jackson,8,0.63,9.3
308,5,8,59,11.8,32,0,Desean Jackson,8,0.63,7.4
309,3,7,100,33.3,77,1,Desean Jackson,8,0.43,14.3
310,5,8,62,12.4,31,0,Desean Jackson,8,0.63,7.8
311,2,8,5,2.5,8,0,Desean Jackson,8,0.25,0.6
312,1,1,9,9,9,0,Desean Jackson,8,1.00,9.0
265,7,9,104,14.9,26,1,Desean Jackson,8,0.78,11.6
266,9,15,193,21.4,61,1,Desean Jackson,8,0.60,12.9
267,3,7,62,20.7,40,0,Desean Jackson,8,0.43,8.9
268,2,6,34,17,20,0,Desean Jackson,8,0.33,5.7
269,7,13,132,18.9,56,1,Desean Jackson,8,0.54,10.2
270,6,6,64,10.7,36,2,Desean Jackson,8,1.00,10.7
271,3,8,21,7,16,0,Desean Jackson,8,0.38,2.6
272,8,11,63,7.9,13,0,Desean Jackson,8,0.73,5.7
273,5,6,150,30,59,1,Desean Jackson,8,0.83,25.0
274,4,5,80,20,55,1,Desean Jackson,8,0.80,16.0
275,4,4,82,20.5,26,0,Desean Jackson,8,1.00,20.5
276,3,6,36,12,25,0,Desean Jackson,8,0.50,6.0
277,4,6,59,14.8,19,1,Desean Jackson,8,0.67,9.8
278,10,15,195,19.5,51,1,Desean Jackson,8,0.67,13.0
279,4,5,29,7.3,10,0,Desean Jackson,8,0.80,5.8
280,3,4,28,9.3,20,0,Desean Jackson,8,0.75,7.0
160,3,3,43,14.3,25,0,Jacoby Jones,9,1.00,14.3
161,3,4,48,16,31,0,Jacoby Jones,9,0.75,12.0
162,1,2,0,0,0,0,Jacoby Jones,9,0.50,0.0
163,0,0,0,0,0,0,Jacoby Jones,9,#DIV/0!,#DIV/0!
164,1,11,9,9,9,0,Jacoby Jones,9,0.09,0.8
165,4,7,76,19,32,1,Jacoby Jones,9,0.57,10.9
166,2,4,27,13.5,20,0,Jacoby Jones,9,0.50,6.8
167,3,5,59,19.7,28,0,Jacoby Jones,9,0.60,11.8
168,2,4,28,14,16,0,Jacoby Jones,9,0.50,7.0
169,2,3,87,43.5,80,1,Jacoby Jones,9,0.67,29.0
170,1,1,10,10,10,0,Jacoby Jones,9,1.00,10.0
171,0,0,0,0,0,0,Jacoby Jones,9,#DIV/0!,#DIV/0!
172,3,6,39,13,18,0,Jacoby Jones,9,0.50,6.5
173,1,2,24,24,24,0,Jacoby Jones,9,0.50,12.0
174,2,2,27,13.5,17,0,Jacoby Jones,9,1.00,13.5
175,3,7,35,11.7,20,0,Jacoby Jones,9,0.43,5.0
175,3,3,46,15.3,25,0,Jacoby Jones,9,1.00,15.3
176,1,2,21,21,21,1,Jacoby Jones,9,0.50,10.5
177,3,4,86,28.7,41,0,Jacoby Jones,9,0.75,21.5
178,2,7,17,8.5,10,0,Jacoby Jones,9,0.29,2.4
179,0,0,0,0,0,0,Jacoby Jones,9,#DIV/0!,#DIV/0!
180,2,3,15,7.5,10,0,Jacoby Jones,9,0.67,5.0
181,2,2,17,8.5,9,0,Jacoby Jones,9,1.00,8.5
